"","transition","mean","median","perc_non_zero","ESS","HPD"
"1","qAD",0.95485023,0.9090525,100,1800,"0.607,1.37"
"2","qAS",17.5100764722222,17.0708115,100,1800,"8.405,26.724"
"3","qAT",0.955405369444444,0.9098345,100,1800,"0.607,1.37"
"4","qDS",0.954790248333333,0.9098345,100,1800,"0.607,1.37"
"5","qSA",0.9472621,0.908463,100,2596.02432110804,"0.622,1.37"
"6","qST",0.947699417222222,0.908583,100,2610.78892791282,"0.615,1.365"
"7","qAV",0.93771865,0.905444,99.3888888888889,1800,"0.622,1.4"
"8","qVA",0.93771865,0.905444,99.3888888888889,1800,"0.622,1.4"
"9","qTS",0.900240112222222,0.8974165,94.8333333333333,1800,"0,1.329"
"10","qSD",0.762479565555556,0.849003,85.4444444444444,1909.3912613153,"0,1.13"
"11","qTD",0.504215877777778,0.6915135,53.6666666666667,1799.99999999997,"0,1.219"
"12","qTA",0.462200217222222,0,49,1800.00000000004,"0,1.219"
"13","qTV",0.348117926111111,0,37.7222222222222,1799.99999999997,"0,1.153"
"14","qVT",0.348117926111111,0,37.7222222222222,1799.99999999997,"0,1.153"
"15","qDT",0.0389188088888889,0,4.83333333333333,1376.16105309067,"0,0"
"16","qDA",0.0322954672222222,0,3.94444444444444,1800.00000000005,"0,0"
"17","qDV",0.0181563255555556,0,2.27777777777777,977.472950077614,"0,0"
"18","qVD",0.0181563255555556,0,2.27777777777777,977.472950077614,"0,0"
"19","qSV",0.00148681666666667,0,0.277777777777771,1800.00000000006,"0,0"
"20","qVS",0.00148681666666667,0,0.277777777777771,1800.00000000006,"0,0"
