"","models","loglik","AIC","AICc","AcW","Aw"
"terrestrial_v1_ard","terrestrial_v1_ard",-109.430465581491,232.860931162983,233.069109601645,0.449727380201154,0.454129452375451
"HMM_terrestrial_v2_er","HMM_terrestrial_v2_er",-114.032019317398,234.064038634796,234.1083190776,0.267477871467183,0.248844588461524
"terrestrial_v2_ard","terrestrial_v2_ard",-110.873513915517,235.747027831035,235.955206269697,0.10622858593802,0.107268384542374
"HMM_terrestrial_v1_sym","HMM_terrestrial_v1_sym",-108.940626653432,235.881253306863,236.217074202386,0.0931917573224701,0.10030556960101
"HMM_radial_sym","HMM_radial_sym",-110.255832484519,238.511664969039,238.847485864561,0.0250144446983422,0.0269239275640872
"HMM_terrestrial_v1_er","HMM_terrestrial_v1_er",-116.73168870259,239.46337740518,239.507657847984,0.0179819316087001,0.0167292581863514
"HMM_serial_er","HMM_serial_er",-117.079220825593,240.158441651186,240.202722093991,0.0127029637354093,0.011818038500308
"HMM_terrestrial_v2_sym","HMM_terrestrial_v2_sym",-111.175444172584,240.350888345168,240.68670924069,0.00997260424393178,0.0107338650738355
"HMM_terrestrial_v2_ard","HMM_terrestrial_v2_ard",-105.065842894172,240.131685788343,241.037346165702,0.00836890704038965,0.0119772016721328
"HMM_radial_ard","HMM_radial_ard",-105.868078704058,241.736157408116,242.641817785474,0.00375199420071125,0.00536968459533742
"serial_ard","serial_ard",-114.35752297319,242.71504594638,242.923224385042,0.0032595338218039,0.0032914391577248
"HMM_radial_er","HMM_radial_er",-119.782745928808,245.565491857616,245.609772300421,0.000850705076156763,0.000791442497344426
"HMM_serial_ard","HMM_serial_ard",-107.662032807514,245.324065615029,246.229725992387,0.000623961495799432,0.000892985503933554
"terrestrial_v2_er","terrestrial_v2_er",-123.28222716015,248.5644543203,248.571807261476,0.000193455599554121,0.000176686326738496
"HMM_terrestrial_v1_ard","HMM_terrestrial_v1_ard",-108.988432334075,247.97686466815,248.882525045509,0.000165618861672749,0.000237026232623945
"HMM_serial_sym","HMM_serial_sym",-115.284109365815,248.568218731629,248.904039627152,0.000163846799793146,0.000176354079510329
"terrestrial_v1_sym","terrestrial_v1_sym",-120.791307825746,249.582615651492,249.656552804912,0.000112468733070567,0.00010619694368317
"radial_ard","radial_ard",-117.978634709393,249.957269418786,250.165447857448,8.72020402920108e-05,8.80556011202168e-05
"terrestrial_v2_sym","terrestrial_v2_sym",-121.626277580368,251.252555160737,251.326492314156,4.8798789153909e-05,4.60775374817551e-05
"ard","ard",-109.430481251905,250.860962503809,251.889317891333,3.68292627107767e-05,5.6043148521469e-05
"radial_sym","radial_sym",-122.26347485507,252.526949710141,252.60088686356,2.58034505550689e-05,2.43645279058028e-05
"terrestrial_v1_er","terrestrial_v1_er",-126.693504938637,255.387009877274,255.39436281845,6.38384287788471e-06,5.83047351003974e-06
"HMM_er","HMM_er",-125.149299004364,256.298598008727,256.342878451532,3.97296406283274e-06,3.69619588254181e-06
"sym","sym",-118.720970465139,257.441940930279,257.85315588355,1.86707627014149e-06,2.08680187385627e-06
"HMM_sym","HMM_sym",-108.261413498972,258.522826997944,260.28618577657,5.53141611779429e-07,1.21554149972115e-06
"radial_er","radial_er",-129.64384084527,261.287681690539,261.295034631716,3.34016241932146e-07,3.05062779232076e-07
"serial_sym","serial_sym",-127.102857021408,262.205714042815,262.279651196235,2.04155373361707e-07,1.92770702537446e-07
"serial_er","serial_er",-132.631516534631,267.263033069261,267.270386010438,1.6835907066619e-08,1.53765235215091e-08
"er","er",-134.829894532115,271.65978906423,271.667142005406,1.86849993188379e-09,1.70653312820401e-09
"HMM_ard","HMM_ard",-100.729474304058,267.458948608116,271.841761108116,1.71228096981068e-09,1.39416969477402e-08
