state,name,value,hidden,observed
1A,lambda,0.08028617701314313,A,A
1A,mu,1.1376260014557207e-25,A,A
1A,div,0.08028617701314313,A,A
2A,lambda,0.08028617701314313,A,S
2A,mu,1.1376260014557207e-25,A,S
2A,div,0.08028617701314313,A,S
3A,lambda,0.08028617701314313,A,D
3A,mu,1.1376260014557207e-25,A,D
3A,div,0.08028617701314313,A,D
4A,lambda,0.08028617701314313,A,L
4A,mu,1.1376260014557207e-25,A,L
4A,div,0.08028617701314313,A,L
5A,lambda,0.08028617701314313,A,P
5A,mu,1.1376260014557207e-25,A,P
5A,div,0.08028617701314313,A,P
1B,lambda,0.01005109532042244,B,A
1B,mu,4.221693922894076e-15,B,A
1B,div,0.010051095320418217,B,A
2B,lambda,0.01005109532042244,B,S
2B,mu,4.221693922894076e-15,B,S
2B,div,0.010051095320418217,B,S
3B,lambda,0.01005109532042244,B,D
3B,mu,4.221693922894076e-15,B,D
3B,div,0.010051095320418217,B,D
4B,lambda,0.01005109532042244,B,L
4B,mu,4.221693922894076e-15,B,L
4B,div,0.010051095320418217,B,L
5B,lambda,0.01005109532042244,B,P
5B,mu,4.221693922894076e-15,B,P
5B,div,0.010051095320418217,B,P
